category,country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Petroleum refining [Energy systems],CHL,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),1.6366580439999998,1.730596405,1.8599704629999998,1.690120399,1.816218745,1.9686631179999998,2.391073376,2.02769302,2.7738156860000003,2.519544703,1.9105182339999998,2.2598968349999997,2.878111524,2.625628783,3.132006502,3.0040502669999998,2.871769461,1.7706992949999998,2.611945325,2.316272201,0.9530116274,1.137287062,1.1973080349999998,2.037035592,1.4972820949999999,1.3422735149999998,1.1319176610000001,1.030711569,0.9901767613999999,1.035503488,0.9522633
Petroleum refining [Energy systems],CHN,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),18.60782557,20.14786694,22.951941769999998,20.802671079999996,21.15301369,25.70584592,19.59941056,28.66789121,26.8769293,25.383139949999997,28.33397947,28.81985478,28.70814348,33.27225492,39.13581638,33.61670702,33.29370538,33.85035857,34.65945850999999,39.03125815999999,70.93745511,80.08433193,79.92804598000001,86.69296892,87.51965052999999,95.94201953,102.99682419999999,118.706328,126.77174829999998,132.63385879999998,136.942026
Petroleum refining [Energy systems],CIV,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.17641220989999998,0.1826969414,0.22630231669999998,0.2730884522,0.2866669808,0.2013959578,0.36942833919999996,0.42216385129999995,0.3775645955,0.503654022,0.5376125285,0.5351812678,0.4568678865,0.2240218637,0.3577061143,0.521962814,0.1483446402,0.13970623699999998,0.22548839869999998,0.20830595379999997,0.1511314058,0.1244662964,0.17785436929999998,0.1719055928,0.16597695129999998,0.1635456903,0.1042868304,0.1251560007,0.1146947771,0.1156622578,0.1030005
Petroleum refining [Energy systems],CMR,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17229632250000002,0.1660848825,0.1781694585,0.14671297049999998,0.15258610649999998,0.15845924249999999,0.126190849,0.088106974,0.123423433,0.06653329300000001,0.06653329300000001,0.054771775,0.043702110999999995,0.0418340247,0.0364619
Petroleum refining [Energy systems],COD,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.07128239,0.049603724999999994,0.034097968,0.037184421999999995,0.021678665,0.021678665,0.021678665,0.024765119,0.024765119,0.024765119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],COG,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.0031057199999999997,0.0031057199999999997,0.0031057199999999997,0.0031057199999999997,0.0,0.0031057199999999997,0.0031057199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0031057199999999997,0.0,0.0,0.0031057199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petroleum refining [Energy systems],COL,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),2.5704372589999998,2.566311903,2.586913295,3.1493315049999997,2.89530449,3.041074183,3.873215666,3.795938196,3.7820825399999998,4.223363963000001,3.72944395,3.3813789369999996,3.1718305869999996,3.195580293,3.187540227,3.2337843889999998,3.2729109249999997,3.265737052,3.3743816699999996,4.0458873429999995,3.941565825,4.136595026,4.066501338,3.909956285,3.5957260349999998,3.828875848,4.636197032999999,4.723129892,4.8676535880000005,5.018884792,4.6567099999999995
Petroleum refining [Energy systems],CRI,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.1186470491,0.0626784069,0.07828486371,0.0657846456,0.08139088748000001,0.10010231,0.09683132881999999,0.09683104101,0.0,0.0,0.0,0.05311972293,0.06872601784,0.07828599538999999,0.06872635608,0.059318315399999995,0.08113565399999999,0.08113565399999999,0.071818641,0.0655296574,0.0686353284,0.0437123188,0.0343176642,0.0312119932,0.0312119932,0.0312119932,0.0312119932,0.03028029204,0.02947277744,0.031814258709999994,0.0274994
Petroleum refining [Energy systems],CUB,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),1.233361386,0.7898223696,0.2488705848,0.17482972559999999,0.1309668822,0.2142890429,0.2876671462,0.1981439062,0.1474465368,0.13493247479999998,0.44735268939999995,0.6789925792999999,0.30820611589999997,0.44040175699999995,0.32706415149999996,0.31323083949999997,0.32532967849999994,0.19725311399999998,0.21085417199999998,0.5861801805,0.35558928549999996,0.5954391705,0.846364814,0.6584150195,0.7668859645,0.8478611169999999,0.504901179,0.46256353299999997,0.38239073009999996,0.37325813609999997,0.32167487
Petroleum refining [Energy systems],CYP,MtCO2eq,GHG emissions from petroleum refining (part of Energy systems),0.08551008176,0.08579194328999999,0.08889438077,0.07742113527,0.11194853699999999,0.08983784342000001,0.08390889059,0.08911671687,0.09222027028999999,0.10673760069999999,0.10391253019999999,0.0542528845,0.10697054549999999,0.10697054549999999,0.025713906999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
