category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,BRN,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,6180.0,4390.0,4340.0,4540.0,4160.0,3970.0,4180.0,4400.0,4720.0,3510.0,4220.0,4250.0,3880.0,4080.0,4480.0,4570.0,4580.0,8150.0,9260.0,7820.0,8080.0,9630.0,9560.0,7680.0,8890.0,6990.0,7730.0,9380.0,9450.0,13200.0
M.0.EL,BTN,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,127.0,169.0,188.0,164.0,233.0,360.0,397.0,484.0,495.0,500.0,503.0,484.0,510.0,460.0,393.0,455.0,449.0,449.0,512.0,720.0,845.0,1120.0,1170.0,1270.0,1370.0,1490.0,1700.0,1840.0,1870.0,1950.0
M.0.EL,BWA,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2710.0,2650.0,2800.0,3220.0,3060.0,3120.0,2860.0,2940.0,3530.0,3370.0,4060.0,4210.0,4430.0,4340.0,4490.0,4790.0,4910.0,5080.0,5470.0,4650.0,5520.0,4970.0,6320.0,7110.0,8680.0,6930.0,8080.0,9000.0,9260.0,8720.0
M.0.EL,CAF,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,194.0,201.0,212.0,219.0,229.0,226.0,223.0,229.0,229.0,238.0,237.0,216.0,212.0,200.0,214.0,228.0,236.0,253.0,257.0,255.0,274.0,282.0,295.0,289.0,292.0,295.0,299.0,279.0,289.0,265.0
M.0.EL,CAN,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,459000.0,451000.0,464000.0,465000.0,479000.0,491000.0,508000.0,522000.0,530000.0,545000.0,568000.0,560000.0,566000.0,583000.0,582000.0,577000.0,573000.0,596000.0,581000.0,548000.0,561000.0,571000.0,571000.0,575000.0,572000.0,574000.0,560000.0,570000.0,580000.0,583000.0
M.0.EL,CHE,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,44200.0,46100.0,46000.0,43600.0,42700.0,43400.0,44100.0,43000.0,44600.0,44400.0,43600.0,45100.0,43500.0,44700.0,45200.0,45800.0,45400.0,43400.0,44700.0,43500.0,45100.0,41000.0,42300.0,43200.0,39200.0,38700.0,39200.0,38200.0,36900.0,36700.0
M.0.EL,CHL,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,32400.0,30700.0,32000.0,34100.0,36700.0,40100.0,46000.0,52900.0,53900.0,56600.0,53600.0,51100.0,52100.0,53100.0,58000.0,58700.0,60500.0,69400.0,70700.0,67500.0,67300.0,76000.0,81400.0,80300.0,76800.0,83100.0,86500.0,87000.0,87200.0,88700.0
M.0.EL,CHN,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2530000.0,2660000.0,2770000.0,2960000.0,3170000.0,3410000.0,3540000.0,3570000.0,3400000.0,3400000.0,3520000.0,3600000.0,3970000.0,4680000.0,5370000.0,6030000.0,6690000.0,7210000.0,7720000.0,8140000.0,8900000.0,9820000.0,10100000.0,10400000.0,10500000.0,10400000.0,10300000.0,10500000.0,10800000.0,11000000.0
M.0.EL,CIV,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,4880.0,4420.0,3960.0,5210.0,4260.0,6400.0,7720.0,7450.0,7000.0,6350.0,6900.0,7930.0,7780.0,5630.0,7770.0,7950.0,7350.0,7160.0,7250.0,6150.0,6740.0,7140.0,9190.0,10300.0,10600.0,10200.0,12700.0,12800.0,13000.0,13300.0
M.0.EL,CMR,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,2520.0,2100.0,4600.0,5020.0,5220.0,5730.0,6360.0,5810.0,5730.0,5620.0,5970.0,5960.0,5710.0,6100.0,6090.0,5770.0,5830.0,7780.0,7710.0,8940.0,8930.0,8510.0,8070.0,7260.0,9160.0,10400.0,11000.0,10300.0,10600.0,9870.0
