sector_title,subsector_title,source,ISO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFOLU,"Biomass burning (CH4, N2O)",direct,BLR,59922.3862,58050.30899,55321.4015,65423.39018,69388.24038,54045.58532,74345.63979,61494.09709,71395.46201,57996.23587,58987.30548,53452.35809,64620.61241,71495.03186,64067.2451,67229.41569,69395.96217,72669.10087,67594.50709,71626.7079,78822.81108,62541.74263,74579.53432,76488.81599,64427.31976,61970.42992,63507.43162,67542.53936,57188.61537,47093.19384,56031.29145,56742.46706,57977.34132,50623.88556,61994.73862,56962.58341,55761.70575,61661.94267,72785.38074,68362.03629,60003.1893,65829.46213,72709.79858,60805.35391,76172.27481,71150.85827,60217.30075,66231.21474,51053.72094,53071.40879,
AFOLU,"Biomass burning (CH4, N2O)",direct,BLZ,6963.205106,6611.278561,6958.509853,7478.776694,8471.2777,8051.423387,6514.945706,9615.984988,11352.55471,10024.00679,10366.18687,10070.99297,11189.1381,11398.82966,10338.99274,9837.581608,8736.764145,8254.442799,8167.002149,9633.07178,10956.1655,11422.3489,11240.41072,10042.54381,12158.58486,10768.7286,11616.23689,12134.46452,12156.92242,12394.45268,11440.19795,10884.48448,12273.42164,11559.61645,12111.00282,10364.49938,12270.15353,12843.36455,10661.17623,10661.80272,12772.02558,10010.51373,12113.97277,12664.10719,13551.0788,13217.7211,16092.46912,18417.26486,18385.56803,18823.72118,
AFOLU,"Biomass burning (CH4, N2O)",direct,BMU,1.903689765,1.63950703,1.62952436,1.451373231,1.375770781,1.269304046,1.294696581,1.215810528,1.421924745,1.796737295,1.726889749,1.400091693,1.69858116,1.64608869,1.53400696,1.551846886,1.54872984,1.433913325,1.363886916,1.400852072,1.35505333,1.226963731,1.23655947,1.0775268,0.93457417,0.93457417,0.89264888,1.166917245,1.42753386,1.55746033,1.6679487,1.55746033,1.38942362,1.51935062,1.29760686,1.13719577,1.25949662,1.448945235,1.44704202,1.446657965,1.470361325,1.51470929,1.523853185,1.580085105,1.5605811,1.43103347,1.369533025,1.36648286,1.36838855,1.334541515,
AFOLU,"Biomass burning (CH4, N2O)",direct,BOL,31976.88389,29195.33814,32958.1552,38180.13107,39016.08577,44520.5588,51309.01954,51659.90253,54502.12388,52623.96778,53655.57735,57228.3527,55063.62023,44707.21159,59336.24913,65104.48791,60568.69648,55532.85927,53105.78265,57224.64823,70869.06935,73885.89878,70314.7042,79840.70807,86880.79611,97560.3316,95562.74579,91824.94719,100692.1224,102704.3915,104174.1505,106610.6305,116614.8338,126695.9405,132367.3456,142030.3129,154370.1208,155723.7944,157561.7553,183333.9645,167930.3236,173136.0702,197100.1925,218904.7168,207591.2466,218389.226,217197.7539,213238.6837,246717.1595,244941.5141,
AFOLU,"Biomass burning (CH4, N2O)",direct,BRA,1821315.416,1849756.364,1900513.397,2064971.968,2265696.454,2308182.26,2644481.648,2808190.108,2705506.899,2882236.335,3219492.285,3239000.112,3546675.109,3645835.283,3869537.334,4243812.931,4158332.178,4658613.043,4593811.874,4661055.174,4316486.359,4272482.479,4603717.166,4357372.315,4974333.959,5151004.19,4981761.749,5247531.003,5388180.08,5465685.661,5419929.942,5879677.491,6098800.059,7012866.128,7191316.949,7147988.651,7652383.801,8602231.252,9784788.201,9999611.848,10548067.78,10881571.5,10817696.1,11861190.22,11758102.43,12189218.21,11942324.71,12841688.11,12521253.96,12585152.35,
AFOLU,"Biomass burning (CH4, N2O)",direct,BRB,13674.36314,11597.12736,9986.54248,9786.848233,8993.443724,7969.17154,8646.2351,9831.522192,8437.334789,9895.112849,11323.51257,9085.194587,7579.569437,6654.895086,7666.405539,7478.842883,8548.653763,6509.078038,6599.312655,5305.347276,5737.161603,5553.527732,4997.716184,4180.806519,4386.945647,3399.124213,5047.32701,5375.764141,4233.850386,4909.859904,5131.019532,3954.848302,3931.230065,3439.592838,3403.691981,4163.185479,3287.486984,3335.657628,2934.922617,3365.796779,2455.166642,2704.885638,2460.776952,1664.931047,1533.133828,1127.20537,822.7936087,1262.00958,1408.427162,1256.869535,
AFOLU,"Biomass burning (CH4, N2O)",direct,BRN,1102.764815,807.8974204,735.7449144,879.1128634,1272.774273,1330.59431,1171.38055,823.936368,716.814619,712.6370753,566.5632976,511.9591342,459.0266292,507.6436537,626.5475998,245.7210465,251.922801,275.6065124,304.490189,243.8222536,184.1142688,170.7799808,171.2716253,128.1297567,150.1147921,102.7160204,91.86173569,108.4388467,120.4163191,98.15851482,119.5756067,126.519608,134.1675426,179.2809604,197.030665,252.9815613,277.8456464,332.8234029,318.728023,397.8765171,431.721069,412.7978733,466.2682458,337.8647973,289.3711634,320.564413,311.7737645,291.690713,269.4562373,272.1225987,
AFOLU,"Biomass burning (CH4, N2O)",direct,BTN,2975.565302,3045.951025,3117.546012,3186.71139,3255.461632,3324.538404,3396.954884,3465.658011,3537.478424,3615.819992,3738.743876,3828.505799,3911.123015,4078.713893,4197.702089,4090.522023,4140.007844,3967.287863,2877.178092,2883.990386,3198.69869,3091.311078,3050.096797,3234.565572,3383.439858,3670.069024,3770.643628,3772.060597,3692.091972,3420.129849,3020.163657,3083.991985,2532.933706,2785.383545,3329.904262,4058.723977,4068.137948,4253.006877,3584.53252,3412.143128,3303.067616,4075.091711,3749.661336,3580.480408,3656.322278,3748.397216,3850.443124,4009.85524,4071.541751,4131.276024,
AFOLU,"Biomass burning (CH4, N2O)",direct,BWA,12287.36546,17027.29772,10258.51864,9982.715408,14178.3955,13397.24105,16681.2082,14648.23915,11197.71131,8066.587504,15022.60283,15254.38926,8364.063753,7931.708527,8012.092874,10575.38102,11593.21506,12595.15946,23715.32506,20953.36281,17294.04527,12077.40897,8668.088583,10759.54306,17928.12355,13467.14255,19875.43139,12372.08613,7668.978247,9406.115795,12208.63657,7552.204212,10183.48978,7781.503588,10222.58765,8913.751076,11147.07721,8042.054515,10281.14454,13137.36591,12473.46163,14041.30756,10446.67185,9627.692721,13799.10287,9320.213957,10479.92208,8891.864754,10508.74969,12810.53902,
AFOLU,"Biomass burning (CH4, N2O)",direct,CAF,11225.99852,11523.03988,11901.31029,12056.88125,13634.43712,12604.00501,12835.03637,13375.62932,13096.41066,13308.88506,13289.45501,13337.82715,12452.22645,10542.77743,9678.150297,8540.947607,10484.2293,9679.763711,10040.08929,9772.920014,9898.046627,9662.200255,9479.811519,9698.223214,10073.45393,10782.65141,11828.30613,12500.27235,13076.39016,13085.51354,13433.84239,13731.47832,14044.43602,14030.54559,14752.53355,15950.14249,15980.81471,16652.81882,17056.88437,17714.63545,16763.73537,17780.42297,17053.93751,16082.60732,14377.27632,14560.8993,15229.85672,15210.71137,15004.70036,15293.57863,
AFOLU,"Biomass burning (CH4, N2O)",direct,CAN,142643.6142,199255.448,187908.6402,198580.5204,171884.0525,201597.1775,246246.8864,227981.2252,229528.8807,199468.0617,226226.058,276679.86,290455.6072,270774.9297,242519.74,269302.0023,317202.9518,288943.6763,208385.9117,275021.2776,320335.6592,312810.5519,293080.4666,295621.3604,270717.6976,285903.0954,330073.4917,291325.9429,296759.0902,314063.1818,310851.4722,266328.1687,217133.9128,286516.5259,301616.2819,306064.7793,295227.3799,281646.5835,334275.413,309613.8315,289052.2003,296155.1727,323993.9125,406100.5222,337070.2865,341614.6223,380042.0904,367340.1076,371877.3655,369341.7168,
AFOLU,"Biomass burning (CH4, N2O)",direct,CHE,3719.210447,4208.802783,4210.415631,4184.490282,4689.119945,4204.856331,4483.083072,3915.7653,4656.991818,4907.495989,4502.304688,4939.283294,5173.429039,5083.499586,6213.391916,5818.317944,5332.090788,5138.185232,6430.185597,7155.77677,6502.046875,6632.755087,6262.249419,6637.686743,6408.499289,3954.974738,4272.805555,3897.673897,3974.709615,3426.453622,3840.997114,3418.685945,3550.065127,2944.755314,3610.995277,3546.265383,3415.648662,3540.030649,3535.979985,3577.74314,3216.984756,3584.287983,3386.891593,3071.316365,3626.361353,3222.976327,2684.14915,3437.280383,3234.279255,3263.607915,
AFOLU,"Biomass burning (CH4, N2O)",direct,CHL,61476.7221,63501.80728,59927.39269,43270.31892,52823.59185,55675.22501,52082.53998,65709.52552,50419.87864,59084.15932,55025.84004,49722.99249,45492.99088,44590.96233,63295.94769,68916.47053,79625.1724,85565.15765,82226.17343,88197.49151,83702.2466,79409.18399,83512.9197,74819.40201,73582.20584,78084.07352,71795.32526,83491.82668,83857.07619,62788.66177,73621.96169,85861.68235,91104.45591,92145.4608,98009.55755,97526.05688,84566.93968,66125.50064,74200.79524,70369.78034,81323.64961,89647.18049,77883.07594,88822.10651,79198.52549,85511.83097,88492.71825,78283.70428,83666.33021,81154.43153,
AFOLU,"Biomass burning (CH4, N2O)",direct,CHN,278095.1419,290321.6079,289993.1641,302003.8186,311702.3921,320192.836,325954.4179,318106.3702,346585.6644,362010.013,351377.7855,363165.4075,392697.0188,413614.048,437705.3272,428771.1288,439740.0381,440350.2538,436724.0956,449073.5477,488940.9563,489967.1985,499945.4624,499099.2985,484955.6662,504548.4085,536699.9507,549412.7481,557719.0042,546733.6501,498906.0388,496398.1217,509081.839,487151.8385,518161.7887,530095.5661,559798.9743,578572.0615,609889.2382,604467.462,609919.0071,630302.7398,653452.9793,667314.8469,670147.7583,699723.2008,694070.8231,696949.8976,694552.8498,690763.836,
AFOLU,"Biomass burning (CH4, N2O)",direct,CIV,43666.41713,45945.72708,43716.43463,45916.15801,49929.65339,58906.48706,59353.2273,61541.80165,64328.06016,68150.91728,61578.96682,61641.60329,65437.44063,65809.16642,72852.41381,73151.92182,77473.50266,80263.01546,82829.78732,85884.66443,85208.27779,88571.12077,91353.8214,83435.69532,90715.77871,92808.13038,84060.64636,84073.46251,79095.50053,77922.62835,79256.9428,79789.85688,80243.00106,79709.93038,82736.19314,85418.30849,88971.84212,85730.0573,93277.04154,94604.79249,107800.9781,100906.8552,132132.5194,147942.9584,163007.2906,183166.6714,176615.9009,186004.1605,184715.6334,183184.866,
